rt,key_press,correct,coherent_movement_direction,coherent_orientation,task_type,task_transition,congruency,id,run
813,f,FALSE,0,180,mov,switch,incongruent,1,3
629,j,TRUE,0,0,or,switch,congruent,1,3
670,f,TRUE,180,180,mov,switch,congruent,1,3
636,j,TRUE,180,0,or,switch,incongruent,1,3
604,f,TRUE,180,180,or,repetition,congruent,1,3
716,j,FALSE,0,180,or,repetition,incongruent,1,3
715,f,TRUE,180,180,or,repetition,congruent,1,3
792,j,FALSE,180,0,mov,switch,incongruent,1,3
616,f,TRUE,180,0,mov,repetition,incongruent,1,3
939,j,FALSE,180,180,mov,repetition,congruent,1,3
638,f,TRUE,180,180,or,switch,congruent,1,3
724,f,TRUE,180,180,mov,switch,congruent,1,3
848,j,TRUE,180,0,or,switch,incongruent,1,3
748,f,FALSE,0,180,mov,switch,incongruent,1,3
827,f,FALSE,0,180,mov,repetition,incongruent,1,3
663,j,TRUE,180,0,or,switch,incongruent,1,3
637,j,TRUE,0,0,or,repetition,congruent,1,3
840,j,TRUE,0,0,mov,switch,congruent,1,3
785,j,FALSE,180,0,mov,repetition,incongruent,1,3
768,f,TRUE,180,180,or,switch,congruent,1,3
778,j,TRUE,0,180,mov,switch,incongruent,1,3
770,j,FALSE,180,0,mov,repetition,incongruent,1,3
676,j,FALSE,0,180,or,switch,incongruent,1,3
1006,j,TRUE,0,0,mov,switch,congruent,1,3
659,f,TRUE,180,180,or,switch,congruent,1,3
726,j,FALSE,0,180,or,repetition,incongruent,1,3
816,j,TRUE,0,0,or,repetition,congruent,1,3
760,f,FALSE,180,0,or,repetition,incongruent,1,3
841,j,TRUE,0,0,mov,switch,congruent,1,3
931,j,FALSE,180,0,mov,repetition,incongruent,1,3
893,f,FALSE,180,0,or,switch,incongruent,1,3
629,j,FALSE,0,180,or,repetition,incongruent,1,3
528,j,TRUE,0,0,or,repetition,congruent,1,3
583,f,TRUE,180,180,or,repetition,congruent,1,3
971,j,TRUE,180,0,or,repetition,incongruent,1,3
649,j,FALSE,180,0,mov,switch,incongruent,1,3
828,f,TRUE,0,180,or,switch,incongruent,1,3
739,f,TRUE,180,180,mov,switch,congruent,1,3
963,f,TRUE,180,180,mov,repetition,congruent,1,3
608,j,FALSE,180,0,mov,repetition,incongruent,1,3
910,j,FALSE,180,180,or,switch,congruent,1,3
703,j,FALSE,0,180,or,repetition,incongruent,1,3
693,f,TRUE,180,180,or,repetition,congruent,1,3
794,f,FALSE,0,180,mov,switch,incongruent,1,3
714,f,TRUE,180,180,mov,repetition,congruent,1,3
880,f,FALSE,0,180,mov,repetition,incongruent,1,3
652,j,TRUE,0,0,or,switch,congruent,1,3
682,f,TRUE,180,180,mov,switch,congruent,1,3
692,f,TRUE,180,180,mov,repetition,congruent,1,3
585,j,TRUE,0,0,or,switch,congruent,1,3
721,j,TRUE,180,0,or,repetition,incongruent,1,3
982,j,TRUE,180,0,or,repetition,incongruent,1,3
789,f,TRUE,180,180,or,null,congruent,1,4
719,f,TRUE,180,180,mov,switch,congruent,1,4
837,f,TRUE,180,0,mov,repetition,incongruent,1,4
651,j,FALSE,0,180,or,switch,incongruent,1,4
793,f,TRUE,180,180,mov,switch,congruent,1,4
558,j,TRUE,0,0,or,switch,congruent,1,4
792,j,TRUE,180,0,or,repetition,incongruent,1,4
794,f,TRUE,180,0,mov,switch,incongruent,1,4
693,f,FALSE,0,180,mov,repetition,incongruent,1,4
769,j,FALSE,180,0,mov,repetition,incongruent,1,4
775,j,FALSE,180,0,mov,repetition,incongruent,1,4
642,j,FALSE,180,0,mov,repetition,incongruent,1,4
849,f,FALSE,0,180,mov,repetition,incongruent,1,4
626,j,TRUE,0,0,or,switch,congruent,1,4
687,j,TRUE,0,0,mov,switch,congruent,1,4
705,f,FALSE,0,0,or,switch,congruent,1,4
858,f,TRUE,0,180,or,repetition,incongruent,1,4
770,f,TRUE,180,180,or,repetition,congruent,1,4
726,j,TRUE,0,180,mov,switch,incongruent,1,4
891,j,TRUE,180,0,or,switch,incongruent,1,4
736,f,FALSE,0,0,mov,switch,congruent,1,4
1053,j,TRUE,180,0,or,switch,incongruent,1,4
635,f,TRUE,0,180,or,repetition,incongruent,1,4
561,j,TRUE,0,0,or,repetition,congruent,1,4
702,f,FALSE,180,0,or,repetition,incongruent,1,4
505,f,TRUE,0,180,or,repetition,incongruent,1,4
881,j,FALSE,180,180,or,repetition,congruent,1,4
532,f,TRUE,180,180,mov,switch,congruent,1,4
727,f,TRUE,180,180,mov,repetition,congruent,1,4
707,f,TRUE,180,180,mov,repetition,congruent,1,4
665,f,FALSE,180,0,or,switch,incongruent,1,4
643,j,TRUE,0,0,or,repetition,congruent,1,4
738,f,TRUE,180,180,or,repetition,congruent,1,4
609,j,TRUE,0,180,mov,switch,incongruent,1,4
640,j,TRUE,0,0,mov,repetition,congruent,1,4
835,j,TRUE,180,0,or,switch,incongruent,1,4
871,f,TRUE,180,180,or,repetition,congruent,1,4
740,j,FALSE,180,0,mov,switch,incongruent,1,4
